category	path	blob_oid	size_bytes	evidence	reason
2	output/nasa_compressor_pdf/NASA-CR-182263.pdf	b0104c22b44ff604d770fe807c1f6df20cf67a56	1769665	✅ 用户保留规则或源证据属性已核实	NASA 原始参考报告；虽位于 output/，仍是源证据，默认保留。
2	output/nasa_compressor_pdf/NASA-CR-182263.txt	580367d09cf5da73524442223a09dda17c4ae775	112005	✅ 用户保留规则或源证据属性已核实	NASA 报告文字提取件；属于可检索溯源材料。
2	sources/NASA-CR-72533-AiResearch-1967.pdf	88e0ea5dc8b76b4c95c0ad7abfa766b6f4bf4025	7157268	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	sources/NASA-TM-X-2129-Ball-Tysl-Weigel-1970.pdf	9c27bdddc04440b52fcb07ad3d7919f4755ec5c3	11488759	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	sources/NASA-TM-X-2269-Ball-Tysl-Weigel-1971-repaired.pdf	d013df69f76a8634cd7a0f91c6b9c30a4c5709a3	2456	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	sources/NASA-TM-X-2269-Ball-Tysl-Weigel-1971.pdf	848ab2190109edd7bee9d54115ffd25ed5281be4	1764429	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	sources/NASA-TN-D-5761-Ball-Heidelberg-Weigel-1970-repaired.pdf	b39ea29cd8aada994baabbc38904c50cb47bf5e5	1814746	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	sources/NASA-TN-D-5761-Ball-Heidelberg-Weigel-1970.pdf	b29122222ad6e36b514cbff889981df9397fef5e	1166964	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	sources/NASA-TN-D-6640-Weigel-Ball-1972-repaired.pdf	7c20602a0aa45503db3ddcf63a0f1d1bcd707eea	1655370	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	sources/NASA-TN-D-6640-Weigel-Ball-1972.pdf	b908282d5f7a3445a5fdbad7397c22c73695567e	1026543	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	sources/NASA-TN-D-7487-Galvas-1973.pdf	261c8e974615b6a4fad0297e2bb498b6d62dfca0	1759538	✅ 用户保留规则或源证据属性已核实	用户明确指定的 sources/ 下 NASA 原始/修复参考报告；默认保留。
2	tests/test_nasa_d7487_input_audit.py	52830b0ae4f57763d872029dcb99ae980c0d169c	2988	✅ 用户保留规则或源证据属性已核实	直接验证 NASA D-7487 输入审计材料的溯源测试。
2	tests/test_nasa_tmx2269_digitization.py	4061fa102e35f5b5047c24afe0ddd38991440724	6107	✅ 用户保留规则或源证据属性已核实	直接验证 NASA TM-X-2269 数字化材料的溯源测试。
2	tests/test_nasa_tn_d7487_program.py	3658a601dded072309388fba116a1cd66ebfe331	2569	✅ 用户保留规则或源证据属性已核实	直接验证 NASA TN-D-7487 程序转录的溯源测试。
2	tools/build_tmx2269_digitization.py	1e51a455b69276d2f4dfa246d5d46fd1aa90e6b2	9904	✅ 用户保留规则或源证据属性已核实	生成/核验 NASA TM-X-2269 数字化数据的溯源工具。
2	tools/nasa_tn_d7487/compressor_program.py	bf17e1858432ea765039478e87bba1412d820160	35853	✅ 用户保留规则或源证据属性已核实	NASA TN-D-7487 压气机程序的可执行溯源实现。
2	交付边界约束_v4.md	67c96139bbacd0de8a9b58811b7296f11fd9581e	12982	✅ 用户保留规则或源证据属性已核实	用户明确指定的正式交付边界；默认保留。
2	决策自律准则.md	1b83c4b090098635eb49e2ed70c00af05d0e1533	3828	✅ 用户保留规则或源证据属性已核实	用户明确指定的正式治理规则；默认保留。
2	压气机几何自洽说明_论文级.md	accf5242aa8eee1e7a0d51afe79aef13c60b6ff1	5381	✅ 用户保留规则或源证据属性已核实	记录 55090 rpm 几何修正的独立物理论证；本次重启决定明确要求保留该结论。
2	徐驰论文_extracted.txt	a277d191e8748bccdf90ab067f5bedc9568e2310	5261833	✅ 用户保留规则或源证据属性已核实	论文文字提取件；原始论文 PDF 当前未出现在归档树中，因此作为现有论文溯源材料默认保留。
2	桑迪亚报告.pdf	6bbfa4a8f503542128a88d406dfcefb23b62d773	7847110	✅ 用户保留规则或源证据属性已核实	外部原始参考报告；属于后续物理模型重建的源证据。
2	桑迪亚报告_extracted.txt	a897878a80ef38534d5a68e5353d551fbfd3eee2	829638	✅ 用户保留规则或源证据属性已核实	桑迪亚报告文字提取件；属于源证据的可检索副本。
2	透平程序 (Turbine Program).pdf	c83960a7c5d9b813663ddb6549a726c27f53d22b	2323410	✅ 用户保留规则或源证据属性已核实	透平程序原始参考报告；属于后续透平模型重建的源证据。
2	验收标准_论文5.4.md	b79026eda0b956eb3717c19e19e6797b9d06d051	6739	✅ 用户保留规则或源证据属性已核实	用户明确指定的正式验收标准；默认保留。
3	.DS_Store	983e5159ccb5d8cbd0b5599e90e7664a974e6c56	14340	✅ 不在第1/2类；❓删除仍待人工确认	操作系统生成的 .DS_Store 元数据；既不参与模型加载，也不承载治理/溯源内容。
3	.workbuddy/memory/2026-08-14.md	db67edc3d4e6d8f6969cb26d420daafb4ac5d31b	19989	✅ 不在第1/2类；❓删除仍待人工确认	旧会话代理记忆；不是正式治理文档，也不参与稳态基线加载，且内容形成于重启前。
3	.workbuddy/memory/2026-08-15.md	837c5ffd376728a0dc40b558aa337fffdc76e765	25284	✅ 不在第1/2类；❓删除仍待人工确认	旧会话代理记忆；不是正式治理文档，也不参与稳态基线加载，且内容形成于重启前。
3	.workbuddy/memory/2026-08-16.md	947fddfc46d0115e4590ef83cbf239c995ad54b4	28071	✅ 不在第1/2类；❓删除仍待人工确认	旧会话代理记忆；不是正式治理文档，也不参与稳态基线加载，且内容形成于重启前。
3	.workbuddy/memory/2026-08-18.md	b03283e4dd85b746363f40c1f6acca9937b218e8	6079	✅ 不在第1/2类；❓删除仍待人工确认	旧会话代理记忆；不是正式治理文档，也不参与稳态基线加载，且内容形成于重启前。
3	README.md	a4a403022e1600daede687834f4742faca287a58	9791	✅ 不在第1/2类；❓删除仍待人工确认	仓库说明仍围绕旧 dynamic 运行链和审计状态；不参与新稳态基线加载，需按新计划另行重写。
3	activate_traceable_compressor_lookup.m	212a931d8bfc86048bbf2b7d38a4f261292502d4	2429	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机候选构建/激活/修正链；隔离依赖追踪未加载，后续只能基于新基线和保留的独立物理论证重建。
3	apply_compressor_corrected_coordinates.m	60233d48c029af4f85e63653c61d7cd1c7efdb10	7004	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机候选构建/激活/修正链；隔离依赖追踪未加载，后续只能基于新基线和保留的独立物理论证重建。
3	apply_paper52_generator_load.m	569372e799976e7052374b6ee95aa3cb30f1357c	2019	✅ 不在第1/2类；❓删除仍待人工确认	旧表 5.2 负载/稳态求解或残差审计链；不参与 final_steady 的当前加载，且旧耦合结论需重新验证。
3	build_traceable_compressor_lookup.m	0f669ff1f4f8e76f9dc531e9d9f3421b5626fe94	8887	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机候选构建/激活/修正链；隔离依赖追踪未加载，后续只能基于新基线和保留的独立物理论证重建。
3	compressor_corrected_coordinates.m	f31b630f1339ece64671114adf7c152ccd14ddaa	462	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机候选构建/激活/修正链；隔离依赖追踪未加载，后续只能基于新基线和保留的独立物理论证重建。
3	data/.DS_Store	89e459bc88e60a29af8e58c4128e6ba903fb3b30	6148	✅ 不在第1/2类；❓删除仍待人工确认	操作系统生成的 .DS_Store 元数据；既不参与模型加载，也不承载治理/溯源内容。
3	data/provenance/.DS_Store	d0920485af8d856152a490de77faf94e0a8de20e	8196	✅ 不在第1/2类；❓删除仍待人工确认	操作系统生成的 .DS_Store 元数据；既不参与模型加载，也不承载治理/溯源内容。
3	data/provenance/compressor_map/.DS_Store	1d5150d8feb71b3c99b444fbb796bb451f92a92b	8196	✅ 不在第1/2类；❓删除仍待人工确认	操作系统生成的 .DS_Store 元数据；既不参与模型加载，也不承载治理/溯源内容。
3	data/provenance/compressor_map/nasa_tn_d7487/.DS_Store	e40a5ccdad1993e9f4eb2ffc6075ffa4414e1c5e	6148	✅ 不在第1/2类；❓删除仍待人工确认	操作系统生成的 .DS_Store 元数据；既不参与模型加载，也不承载治理/溯源内容。
3	docs/.DS_Store	f28812e1f9a66c2e2412e2076d00a60f0fb5280b	8196	✅ 不在第1/2类；❓删除仍待人工确认	操作系统生成的 .DS_Store 元数据；既不参与模型加载，也不承载治理/溯源内容。
3	docs/MODEL_MAP.md	3a57c00ce75154ec161808a9603a52d2ae4c1e83	9084	✅ 不在第1/2类；❓删除仍待人工确认	重启前的模型地图/计划/状态，包含旧 dynamic 假设；不参与新稳态基线加载，不能继续作为当前事实。
3	docs/PLAN.md	307afcc2b61f665151a314441cdb2a3ac612c158	4450	✅ 不在第1/2类；❓删除仍待人工确认	重启前的模型地图/计划/状态，包含旧 dynamic 假设；不参与新稳态基线加载，不能继续作为当前事实。
3	docs/STATUS.md	a3021f5c144dbe19c807121b8bd0c61f3fd916e5	8905	✅ 不在第1/2类；❓删除仍待人工确认	重启前的模型地图/计划/状态，包含旧 dynamic 假设；不参与新稳态基线加载，不能继续作为当前事实。
3	docs/experiments/compressor_flow_boundary_001.md	df24c0dbc772f615c6e056b91749d531d6b0872d	9604	✅ 不在第1/2类；❓删除仍待人工确认	记录旧 final_dynamic 压气机边界失败实验；对新稳态基线不构成运行依赖，历史已由归档 tag 保留。
3	docs/superpowers/.DS_Store	bc43d2850a02d71d80fc2419e5095565a26820d4	6148	✅ 不在第1/2类；❓删除仍待人工确认	操作系统生成的 .DS_Store 元数据；既不参与模型加载，也不承载治理/溯源内容。
3	docs/superpowers/plans/2026-08-17-compressor-lookup-rebuild.md	dd1e5cfac11ac60471294aed211bd2845aad0bbf	9305	✅ 不在第1/2类；❓删除仍待人工确认	重启前针对旧压气机候选链或旧动态复现的计划/设计稿；不参与稳态模型加载，结论须重验。
3	docs/superpowers/plans/2026-08-17-paper54-dynamic-reproduction.md	496b78b88b4b22f7ab1e82c90ec7feb1a03db419	19402	✅ 不在第1/2类；❓删除仍待人工确认	重启前针对旧压气机候选链或旧动态复现的计划/设计稿；不参与稳态模型加载，结论须重验。
3	docs/superpowers/specs/2026-08-17-compressor-lookup-design.md	ee45cbff06cc451665e0094061365716bd6f5586	3724	✅ 不在第1/2类；❓删除仍待人工确认	重启前针对旧压气机候选链或旧动态复现的计划/设计稿；不参与稳态模型加载，结论须重验。
3	docs/superpowers/specs/2026-08-17-paper54-dynamic-reproduction-design.md	fe3580739d6f236d53dc11c0d0c931407adc3c65	9730	✅ 不在第1/2类；❓删除仍待人工确认	重启前针对旧压气机候选链或旧动态复现的计划/设计稿；不参与稳态模型加载，结论须重验。
3	final_dynamic_24a.slx.before_corrected_coordinates.bak	745e6ee8e97a4e099362bdb5aa98d4e1efb9ae14	648340	✅ 不在第1/2类；❓删除仍待人工确认	旧 final_dynamic 模型备份或编译缓存；不在新稳态依赖链内，且旧动态具体改动不再默认可信。
3	final_dynamic_24a.slx.original	b7358213a0fb7530445a0460f31626d90194fab1	630975	✅ 不在第1/2类；❓删除仍待人工确认	旧 final_dynamic 模型备份或编译缓存；不在新稳态依赖链内，且旧动态具体改动不再默认可信。
3	final_dynamic_24a.slxc	79c502519389826448cf924648b3c26826b1b179	5394	✅ 不在第1/2类；❓删除仍待人工确认	旧 final_dynamic 模型备份或编译缓存；不在新稳态依赖链内，且旧动态具体改动不再默认可信。
3	final_dynamic_24a_audit_001.slxc	85558e9a6c560aba7439d595f9c99adf178cb40b	5421	✅ 不在第1/2类；❓删除仍待人工确认	旧 final_dynamic 模型备份或编译缓存；不在新稳态依赖链内，且旧动态具体改动不再默认可信。
3	final_steady_24a.slx.r2024a	1de263ce92fcb7e257b1227e47f3b4a845a1b886	138755	✅ 不在第1/2类；❓删除仍待人工确认	final_steady 的版本转换备份；活动基线是 final_steady_24a.slx，本文件不被加载或引用。
3	hexe_compressor_lookup.mat.bak	fbba6460ea8d1b177074c0a11d0b0c97b5d70e0d	17456	✅ 不在第1/2类；❓删除仍待人工确认	历史压气机查表备份；活动表与独立几何/来源材料已分别列入第 1/2 类，本备份仅由归档 tag 保存历史。
3	hexe_compressor_lookup.mat.bak2	56c05d6ac22825f0c0e43a94b462f30d2047cb34	24072	✅ 不在第1/2类；❓删除仍待人工确认	历史压气机查表备份；活动表与独立几何/来源材料已分别列入第 1/2 类，本备份仅由归档 tag 保存历史。
3	hexe_compressor_lookup.mat.before_compressor_map_20260816.bak	1fc80662b3c3af094a0f4ac24f02d3b54792083b	24072	✅ 不在第1/2类；❓删除仍待人工确认	历史压气机查表备份；活动表与独立几何/来源材料已分别列入第 1/2 类，本备份仅由归档 tag 保存历史。
3	hexe_compressor_lookup.mat.before_traceable_map_20260818.bak	b471603e1418c385b25ca4f0c1e815daa6ab3b24	17551	✅ 不在第1/2类；❓删除仍待人工确认	历史压气机查表备份；活动表与独立几何/来源材料已分别列入第 1/2 类，本备份仅由归档 tag 保存历史。
3	hexe_compressor_lookup.mat.pre_paper_shape.bak	1fc80662b3c3af094a0f4ac24f02d3b54792083b	24072	✅ 不在第1/2类；❓删除仍待人工确认	历史压气机查表备份；活动表与独立几何/来源材料已分别列入第 1/2 类，本备份仅由归档 tag 保存历史。
3	output/.DS_Store	163967a05843ec0ad5b59c968698d2d88e08ce33	10244	✅ 不在第1/2类；❓删除仍待人工确认	操作系统生成的 .DS_Store 元数据；既不参与模型加载，也不承载治理/溯源内容。
3	output/compressor_audit/current_compressor_subsystem.png	01e5851d5e634256b9bc82d1b8528b55e14b61b4	392829	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_audit/current_map_domain_audit.png	21cad5db0848f8a775cf1e5b047c318a706c7490	273617	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/build_candidate_mat.m	b3a5d4c6ba17fbd44f60f479e80a31b485e17422	480	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/candidate.json	d92a37f69901065d72e1b6c68b2ceb4ed3bfb694	26196	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/compressor_map_after.png	303f9141ff7d79c2405d34443c535a3fbc753dc3	191115	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/generate_candidate.py	e84d35f81b21896c8805400f89703019db72efe3	9382	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/generate_smooth_candidate.py	f7c7f0b05c6fd74d17fe5c9a2e92f0945fd339f4	5389	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/hexe_compressor_lookup_candidate.mat	7b17716e98bf94becc0b85bdf724c4eee5fa87c2	17845	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/hexe_compressor_lookup_smooth_candidate.mat	222bb3465f6368a0da608ed6a8bdd0783887afa7	13047	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/old_new_surfaces.png	e9c76356a55be70708081941ce00ee16cd3d1cc6	347661	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/old_new_surfaces_v2.png	d55c3dad3b9ee1100d21d37fff45334233e454be	380994	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/paper_shape_map.png	daab6ae177d93e82527e7704dc677af223640bc0	164974	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/smooth_candidate.json	1c11dce5447615e07f659bb595c8fae58c265fe8	7508	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/smooth_candidate_subsystem.png	fc4e1d74cdd35e6b90e8bedb96f2b75ef150a184	398868	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/t0_old_candidate.mat	65cfd13afe75bb8a4e6ce91f318da67b1bc1502a	115798	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/test_compressor_lookup.m	4eb0ecae98628b806c8f99ce7613968ca37a7fc1	2736	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/compressor_map_rebuild/test_compressor_map_shape.m	5432cb0305129f8197a9059693797050eceffd56	2602	✅ 不在第1/2类；❓删除仍待人工确认	旧压气机审计/候选生成物；不是活动查表，也未被 final_steady 依赖链加载。
3	output/nasa_compressor_pdf/page-15.png	2ffc14448c845cd0f372e9867eb1e07154b91d66	106783	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-30.png	55c6ae3da62033351a24a444f9cf48319751285e	121624	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-31.png	4feff09ced4923d0d9ecbd54e3301cff3f345a35	103758	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-32.png	cb67a415060b187bcccc95e38abf9d9ab7a85717	111343	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-33.png	e49ed0661754881932b21ab7e3a8b8762605c099	124979	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-34.png	a42b333dfb2c32b6ba3bec68036559e54df36438	112254	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-35.png	1b20204a443ffdd0cb80753fa75c0d9ff1ae0a5d	124149	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-36.png	005653e74e76424d38ac73f7ebe53b3fa1b1505e	119350	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-37.png	5419e31347f158663302ecd7fae5add3bdecba18	135124	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-38.png	a6ab356038d08f5c04a617c8250524a261590655	87921	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/nasa_compressor_pdf/page-39.png	060acc8c83ab19f37619377557be6898605e98e6	58641	✅ 不在第1/2类；❓删除仍待人工确认	NASA 报告的临时页图/版面提取；原始或修复 PDF/文字源已列入第 2 类，模型不引用本派生文件。
3	output/paper54_current/case_summary.csv	21b6a24eaa02f5e01084122443c713e02cf56b78	1575	✅ 不在第1/2类；❓删除仍待人工确认	旧 5.4 动态仿真或表 5.2 审计输出；建立在重启前模型状态上，不能作为新基线事实。
3	output/paper54_current/load_case_current.mat	19ed3238d425d5223a9f351d22de309c8464b6fd	101925	✅ 不在第1/2类；❓删除仍待人工确认	旧 5.4 动态仿真或表 5.2 审计输出；建立在重启前模型状态上，不能作为新基线事实。
3	output/paper54_current/load_case_current.png	afe8cdf3a3a09d85219bd0095d3bf5582e0a392d	91305	✅ 不在第1/2类；❓删除仍待人工确认	旧 5.4 动态仿真或表 5.2 审计输出；建立在重启前模型状态上，不能作为新基线事实。
